Age Group,MAE,Samples
0-10,6.905983943205613,130
11-20,8.584061496787601,90
21-30,6.352716199152029,314
31-40,7.292877444286936,194
41-50,8.707807615716407,94
51-60,13.584345733063131,79
61-70,11.889321928222975,48
71-100,17.93696130023283,51
