Age Group,MAE,Samples
0-10,5.278378991415061,130
11-20,8.88555532646262,90
21-30,4.652529877841852,314
31-40,5.7197926385501,194
41-50,8.351480395235914,94
51-60,10.834644489650485,79
61-70,8.074508639673391,48
71-100,10.423097433997135,51
